section	file	local_file	sha256	bytes	title
01-Введение	01-intro-structure.md	01-intro-structure.local.md	0de727f16b9a7256a9a0c317b56e6cd7246c2ef5104b7e51c8e983346307a584	3600	О структуре этой книги
01-Введение	02-intro-api-definition.md	02-intro-api-definition.local.md	0e098441e7bc8dd95e9d9eafcbbb1a770a3bbfccfa936fc99b53abfbbb01ae37	6545	Определение API
01-Введение	03-intro-api-quality.md	03-intro-api-quality.local.md	4338d8b155e22f64651611cff0ab8bdef6d89e313285212fa68ece0ed0d55e47	6008	Критерии качества API
01-Введение	04-intro-api-choosing-solutions.md	04-intro-api-choosing-solutions.local.md	c3c6ed14e2eb9ad0c2e19479089879720553d832987a203edb5cd0fc57fd1eec	3021	Выбор подхода к разработке API
01-Введение	05-intro-api-first-approach.md	05-intro-api-first-approach.local.md	12e4a6fc0e4a6a11d8eebd46d69206abbd9e6937eb510367d0716418946d2d46	3571	API-first подход
01-Введение	06-intro-back-compat.md	06-intro-back-compat.local.md	b170ac4df054a11613783f24ae67b68fa3b5115a547e74e0e9b2cb9ba4dbd837	3227	Обратная совместимость
01-Введение	07-intro-versioning.md	07-intro-versioning.local.md	9037b9534b94731b26c7091d39b64c065c383d440a34bb2ab3df4a1ee78f61b7	2536	О версионировании
01-Введение	08-intro-terms-notation.md	08-intro-terms-notation.local.md	bbb24c6479d94149ba6750ce1bfce4a9dbae45bbc66822425db97de098c2e2b2	7334	Условные обозначения и терминология
02-Раздел I. Проектирование API	01-api-design-context-pyramid.md	01-api-design-context-pyramid.local.md	0fa707bf061932f9144ae60fc9d12e7ee82d66eb4b6e5acd7443d190ee013d04	1997	Пирамида контекстов API
02-Раздел I. Проектирование API	02-api-design-defining-field.md	02-api-design-defining-field.local.md	da5f7b19472dd5fef1dd3775846de666c87a4d7583119eacc480d79bf982ca5a	10210	Определение области применения
02-Раздел I. Проектирование API	03-api-design-separating-abstractions.md	03-api-design-separating-abstractions.local.md	b540d9bc48db67c30d3e8a1ead381bbb8c9be700f5c71f83bf4dae4542b743d7	50663	Разделение уровней абстракции
02-Раздел I. Проектирование API	04-api-design-isolating-responsibility.md	04-api-design-isolating-responsibility.local.md	da310e962e256a6dc63ec5aed2b684500ffbb29061121d5683d5b9cb72a5187a	31660	Разграничение областей ответственности
02-Раздел I. Проектирование API	05-api-design-describing-interfaces.md	05-api-design-describing-interfaces.local.md	7c8abc77b29444b79c4124363ebdabd8640b4c8ac17b7600cec63ffd92ba37f9	81738	Описание конечных интерфейсов
03-Раздел II. Паттерны дизайна API	01-api-patterns-context.md	01-api-patterns-context.local.md	f45f8450c667fa1b00b6f144a4a1607c8f6a3813405894aa30f56c8c22385848	8000	О паттернах проектирования в контексте API
03-Раздел II. Паттерны дизайна API	02-api-patterns-aa.md	02-api-patterns-aa.local.md	61d70c750ff40b39595bb9b1cd76edcdf77f2c4de9d1fc392a0e84f6e7aacd94	7778	Аутентификация партнёров и авторизация вызовов API
03-Раздел II. Паттерны дизайна API	03-api-patterns-sync-strategies.md	03-api-patterns-sync-strategies.local.md	05a4a46db8b3e0084d8d4787072fc029be8568e3e3d02a6f9a9aaf321689ad17	12369	Стратегии синхронизации
03-Раздел II. Паттерны дизайна API	04-api-patterns-weak-consistency.md	04-api-patterns-weak-consistency.local.md	e939ebf4dc1664605f4626c8d88099ff7f03728f62b93a74dbccc987e67bc536	20501	Слабая консистентность
03-Раздел II. Паттерны дизайна API	05-api-patterns-async.md	05-api-patterns-async.local.md	d89ba85339b96d9224782d000350569a604b8aee576aa6d70ba99359c5904821	18461	Асинхронность и управление временем
03-Раздел II. Паттерны дизайна API	06-api-patterns-lists.md	06-api-patterns-lists.local.md	51eea63ff521a8ca071ba85cd3d492b69de68856a6d88fe7232dd8deec8b3011	31398	Списки и организация доступа к ним
03-Раздел II. Паттерны дизайна API	07-api-patterns-push-vs-poll.md	07-api-patterns-push-vs-poll.local.md	ff5326058ae73d850dd6e99a2ff9a31afc131b5ff5f84d96464fed85cf1e157d	33789	Двунаправленные потоки данных. Push и poll-модели
03-Раздел II. Паттерны дизайна API	08-api-patterns-async-event-processing.md	08-api-patterns-async-event-processing.local.md	44ff331fd1e79b80c3a22cbbe7e789995726a5cc9deb38a7eb232ddaa4ec9336	9492	Мультиплексирование сообщений. Асинхронная обработка событий
03-Раздел II. Паттерны дизайна API	09-api-patterns-atomicity.md	09-api-patterns-atomicity.local.md	a06215d07cd2103de6d1351d694335063b8757483040345dcbf75aafff9c684c	16496	Атомарность массовых изменений
