id	artifact_path	sha256	notes
_include/refs/asylum	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/_include/refs/asylum.rst	b6a4e57d3d4dcf9f9117a205773f32c17ad8c6607a3b76917dbe0e01c4d9b383	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
_static/github-survey-2017-fig1	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/_static/github-survey-2017-fig1.png	e519d7b10844ef090edd3108814c7e507cef34693561b432085e60ca9176695c	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
_static/templates/product/library/php/README	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/_static/templates/product/library/php/README	bba9e4532a42b5b891d6f968b9be63877eaaa70e6c2359d6c74c93f79f354ff5	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
_static/templates/product/library/php/README	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/_static/templates/product/library/php/README.md	734d3ae852be6ac6d4bd8852bf0e87b4e076fd275cbd208ade5e30f5e9999cbf	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/index	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/index.rst	08d51ca6e2c56f67561a4e74a3408f5d911c8606becf4d45d2fbf4fbe47c2082	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/index	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/index.rst	bfd9abf0d34019535f49aed785971b0bb128566e1ece2f38c235fd680cda25e6	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/process/index	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/process/index.rst	10e101fafc227b5840f09f49ca742472ad3481d0667c25215a6d9194c1fb14e4	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/index	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/product/application/index.rst	937b03e0be1affb7f44d6bbbb431a90f94cfd9ab6960c832fcfacf9065af8290	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/organization/index	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/product/application/organization/index.rst	feebd2d6853bcc80de2cad30658f5db768ef1916ac00c1b68bc27ed063b42c34	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/organization/source	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/product/application/organization/source.rst	01d215c55bdc73ec1c117a7b1a7592d2dac9dc843bb353edecf1bc97b4d7029f	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/outer-developers/api	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/product/application/outer-developers/api.rst	6f08b613421799881168adf5609376bf7c36bca5aeaf48315ecaa0dd629574fb	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
appendix/quick-solution/product/application/outer-developers/index	knowledge/primary/HWD/287c3b86170f56b163dc65eeaaf3678c3cefb25c/pages/appendix/quick-solution/product/application/outer-developers/index.rst	660ff757e61cd25488ab8e692f23115f823b6e2659bba2d6accdb0d3f4e431f9	Snapshot of src/pages at commit 287c3b86170f56b163dc65eeaaf3678c3cefb25c.
