id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
agent-approvals-security	https://developers.openai.com/codex/agent-approvals-security	knowledge/primary/CODX/pages/agent-approvals-security/index.html	knowledge/primary/CODX/pages/agent-approvals-security/response-headers.txt	5a65ac85aadf427738eb997b70f59d2ad37c36600ddf0944fb11bec31cf2c579	e804eb19ae5fe0a575259e42839b7c99ccfc58e84301771dcbf6f54f35efea43	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:06 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
agents-md	https://developers.openai.com/codex/guides/agents-md	knowledge/primary/CODX/pages/agents-md/index.html	knowledge/primary/CODX/pages/agents-md/response-headers.txt	9061446239ea152cc0de836caf14d36f3bdb4ed3b2d36dd98cb84125847c41b1	72b8ba067e40a53434035e70745857f913765a67fe80f40c6e238d3d8f19826f	2026-06-03T12:51:36Z	200	Wed, 03 Jun 2026 11:12:28 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app	https://developers.openai.com/codex/app	knowledge/primary/CODX/pages/app/index.html	knowledge/primary/CODX/pages/app/response-headers.txt	e17486a944b9d60af2c8431a99a7cbf1ebb96ba7267dedee2950d898a78219f3	cc8566cc91bec1a088385e6761da7eadb854adcb36c85c52a4d3d8073af585df	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app-server	https://developers.openai.com/codex/app-server	knowledge/primary/CODX/pages/app-server/index.html	knowledge/primary/CODX/pages/app-server/response-headers.txt	c29763aba67620a2bce6d9b22cdb8980c5eb68afcdc55be74464604ea22139eb	908da75945a4e085be5851c519767ba1dfaefdbce2a1fc9c48aaa4b268a6c1d3	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:53 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/automations	https://developers.openai.com/codex/app/automations	knowledge/primary/CODX/pages/app/automations/index.html	knowledge/primary/CODX/pages/app/automations/response-headers.txt	d6532173bfb992e6cb52000ef1af12127cd41e8718505bf3ca8f899767a00db4	0efbfb7ca13563a019da434d07c98bec26023da34be64544721a95936ca61761	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:17 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/commands	https://developers.openai.com/codex/app/commands	knowledge/primary/CODX/pages/app/commands/index.html	knowledge/primary/CODX/pages/app/commands/response-headers.txt	1cb018124c9614fe79c04fccf37fde678b421bdc69b39f34510b16209190facd	ce0699f75ff80a6c8620e832127ce521852191bb8a0767952b9edb97869aea94	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:24 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/features	https://developers.openai.com/codex/app/features	knowledge/primary/CODX/pages/app/features/index.html	knowledge/primary/CODX/pages/app/features/response-headers.txt	6eac597824f8187c599abad7a01f3aaabb3947a42c769dc66055ff330244e91a	63b0974dc70e8157f065052d0daa7a4ba6744124f44122f0c437e1d5b0ac00bf	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:59 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/local-environments	https://developers.openai.com/codex/app/local-environments	knowledge/primary/CODX/pages/app/local-environments/index.html	knowledge/primary/CODX/pages/app/local-environments/response-headers.txt	6cfd38ac0ae0e2a04ad2d13cdcf9d47073bee6111b72bafa876accc2db00f5f4	cddca1637dadf057757daa885a7c542625463f1681cae696b27f474ae1e00728	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:05 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/settings	https://developers.openai.com/codex/app/settings	knowledge/primary/CODX/pages/app/settings/index.html	knowledge/primary/CODX/pages/app/settings/response-headers.txt	8f23aa2fbdb0851a8ffb7e1cd8f9d50f6d8e843b009c014e43436bd0ad39039a	93925a0f0d83aa6d915a42e6eb57c2f062abb3b47491f89ea73165a50367e761	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:37 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/troubleshooting	https://developers.openai.com/codex/app/troubleshooting	knowledge/primary/CODX/pages/app/troubleshooting/index.html	knowledge/primary/CODX/pages/app/troubleshooting/response-headers.txt	f97d8e322255c9cb7dabd317c848ed862799362de317ae4965fd65b0cdd5a0fc	be40bda5450112b403fdbdd71324daab4c5e5ced7fadb2c5789c7ebf7356c96e	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:37 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
